AGE_DIFFERENCE	Q23	PP2_RESPONDENT_YRSED	PARTNER_YRSED	RESPONDENT_RELIGION_AT_16	PARTNER_RELIGION_AT_16	PP2_PPINCIMP	success
2	1	12	13	1	11	10	1
11	1	17	13	3	3	17	1
6	1	16	16	2	3	17	-1
11	2	10	12	2	1	14	1
0	3	17	17	2	2	11	1
6	3	16	13	2	2	17	1
1	3	12	13	2	1	13	1
3	3	16	17	12	2	14	1
4	1	12	12	2	2	9	1
1	3	16	13	2	2	16	1
1	2	20	20	13	2	17	1
0	3	12	12	13	13	15	1
2	1	20	13	1	2	17	1
2	1	16	16	2	2	16	1
3	1	13	13	11	1	15	1
1	2	16	13	2	3	14	-1
6	3	14	16	2	2	15	-1
6	3	17	17	2	13	14	1
2	1	13	13	3	11	18	-1
15	1	13	13	2	3	13	1
9	1	13	12	2	13	5	1
0	1	17	17	2	2	16	1
4	3	13	13	11	2	13	1
2	1	16	17	3	2	16	1
8	3	14	13	13	13	16	-1
2	2	16	17	2	2	17	1
6	1	12	13	11	1	11	-1
9	3	13	17	1	3	4	1
11	3	16	16	13	8	13	1
18	1	16	14	3	3	18	-1
2	3	17	14	3	1	14	-1
4	1	17	13	13	3	15	1
69	1	13	13	12	12	13	1
5	1	20	17	13	2	16	1
1	1	17	20	2	5	16	1
1	1	12	12	1	11	13	1
5	1	16	13	2	3	14	1
1	1	13	12	3	2	14	1
1	2	13	12	2	2	11	1
0	3	11	10	13	3	6	-1
5	1	16	17	2	13	15	1
5	3	12	12	1	2	7	1
0	1	16	16	4	4	12	1
14	1	17	17	13	13	17	1
1	3	12	14	1	1	13	1
0	3	16	16	1	1	7	1
14	3	13	13	3	3	13	1
12	3	12	12	3	13	10	1
4	1	13	12	11	1	13	1
9	1	20	17	13	2	16	1
5	3	17	16	6	6	15	1
3	3	16	14	13	3	16	-1
2	1	17	16	3	13	12	1
3	3	16	16	4	4	15	1
1	1	14	16	11	11	11	1
4	1	13	14	1	1	13	1
3	3	13	12	13	3	3	-1
3	3	13	13	1	3	9	1
1	3	16	16	2	3	18	1
4	3	10	13	2	2	10	1
2	1	17	20	2	5	19	1
2	1	12	12	3	3	13	1
15	2	13	16	12	3	17	1
4	3	14	16	13	13	12	1
4	1	16	14	4	4	14	1
0	3	13	12	13	3	4	-1
1	2	13	13	1	1	17	-1
1	3	16	13	3	2	13	-1
4	1	16	17	12	3	16	-1
0	3	7.5	14	11	13	12	1
16	3	17	17	3	10	14	1
2	2	14	12	2	2	10	-1
6	2	12	14	4	3	11	1
1	1	9	12	11	2	9	1
7	1	13	17	2	13	16	-1
2	3	17	16	13	13	15	1
2	1	12	17	11	11	13	1
5	1	12	14	1	3	11	1
12	3	13	13	3	2	15	1
7	3	13	13	4	4	8	1
5	2	13	12	2	2	13	-1
2	3	13	12	1	13	11	1
2	3	16	13	2	11	6	-1
1	2	12	11	1	13	12	1
3	-1	11	11	3	3	10	1
2	3	7.5	12	3	11	13	1
5	3	10	13	11	2	7	1
0	3	13	13	2	2	13	-1
7	3	16	14	3	13	8	1
1	3	12	13	2	3	11	-1
1	3	13	16	3	1	11	1
1	1	13	12	11	3	17	1
4	1	12	12	13	1	14	1
10	3	12	12	3	3	6	1
4	1	13	14	2	4	15	1
2	3	12	11	2	2	9	1
7	3	14	11	1	3	8	1
12	1	17	16	7	3	12	1
0	3	13	12	2	11	10	1
4	3	12	12	13	13	12	1
6	2	13	12	13	3	16	1
1	3	12	13	11	3	16	1
5	3	14	13	1	1	9	-1
4	3	11	9	1	9	6	1
1	3	16	16	3	5	16	-1
2	2	12	12	1	1	6	-1
