SAME_SEX_COUPLE	US_RAISED	ZPRURAL_CAT	CORESIDENT	GLBSTATUS	MARRIED	MET_THROUGH_AS_COWORKERS	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_FAMILY	MET_THROUGH_FRIENDS	PPHHHEAD	Q24_MET_ONLINE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q32_INTERNET	PPMSACAT	PPNET	PARTNER_YRSED	Q9	RELATIONSHIP_QUALITY	RESPONDENT_MOM_YRSED	RESPONDENT_YRSED	ZPFORBORN_CAT	ZPNHBLACK_CAT	ZPNHWHITE_CAT	AGE_DIFFERENCE	CHILDREN_IN_HH	DISTANCEMOVED_10MI	GENDER_ATTRACTION	HHINC	HOW_LONG_AGO_FIRST_COHAB	HOW_LONG_AGO_FIRST_MET	HOW_LONG_AGO_FIRST_ROMANTIC	HOW_LONG_RELATIONSHIP	PARTNER_MOM_YRSED	PARTNER_YRSED	PPAGECAT	PPHOUSE	PPHOUSEHOLDSIZE	Q21A	Q21B	Q21C
1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	14	61	5	16	20	2	0	2	13	0	2280	5	80000	38	43	43	43	12	14	6	1	2	31	31	36
0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	16	22	5	16	13	1	1	3	0	1	0	1	67250	-6	13	0	.44999998808	16	16	1	1	4	9	22	-6
0	1	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	13	66	5	7.5	7.5	1	0	3	7	0	0	1	22250	46	53	46	46	12	13	6	1	2	20	27	27
1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	13	33	4	9	16	3	1	0	4	0	230	5	92250	2	3	2	2.5	9	13	3	1	2	34	35	35
0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	17	48	4	16	12	3	2	0	7	0	0	2	27250	-6	0	0	.44999998808	13	17	3	3	2	41	41	-6
0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	12	37	4	16	14	0	3	0	1	4	0	2	55000	-6	5	5	5	7.5	12	3	3	2	31	31	-6
1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	16	36	5	13	16	3	2	0	32	0	1470	5	37250	12	12	12	12	17	16	6	1	2	56	56	56
1	1	-6	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	17	57	4	12	16	-6	-6	-6	4	0	720	5	67250	2	10	10	10	12	17	4	1	2	43	43	51
0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	17	34	5	17	16	3	2	1	5	0	110	1	45000	-6	3	3	4	12	17	2	3	1	26	26	-6
0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	20	58	4	13	20	3	1	1	16	0	0	1	55000	-6	1	0	.15000000596	13	20	6	3	1	73	74	-6
0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	13	28	4	12	14	1	1	3	0	0	210	1	37250	-6	2	1	.75	12	13	2	3	1	26	27	-6
0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	10	42	5	12	12	2	1	2	9	1	2330	1	55000	7	7	7	7	12	10	2	1	4	26	26	26
1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	16	41	5	13	13	1	3	1	3	0	20	5	45000	-6	1	1	.75	14	16	3	1	2	43	43	-6
