PAPGLB_FRIEND	PAPRELIGION	PARTNER_RACE	PPMARIT	PPPARTYID3	PPREG9	PPRENT	Q12	Q29	Q7B	RESPONDENT_RACE	PAPGLB_STATUS	AGE_DIFFERENCE	CHILDREN_IN_HH	DISTANCEMOVED_10MI	GENDER_ATTRACTION	HHINC	HOW_LONG_AGO_FIRST_COHAB	HOW_LONG_AGO_FIRST_MET	HOW_LONG_AGO_FIRST_ROMANTIC	HOW_LONG_RELATIONSHIP	PARTNER_MOM_YRSED	PARTNER_YRSED	PPAGECAT	PPHOUSE	PPHOUSEHOLDSIZE	Q21A	Q21B	Q21C	Q9	RELATIONSHIP_QUALITY	RESPONDENT_MOM_YRSED	RESPONDENT_YRSED	ZPFORBORN_CAT	ZPNHBLACK_CAT	ZPNHWHITE_CAT	CORESIDENT	GLBSTATUS	MARRIED	MET_THROUGH_AS_COWORKERS	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_FAMILY	MET_THROUGH_FRIENDS	PPHHHEAD	PPMSACAT	PPNET	Q24_MET_ONLINE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q32_INTERNET	SAME_SEX_COUPLE	US_RAISED	ZPRURAL_CAT	PARENTAL_APPROVAL	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	EITHER_INTERNET_ADJUSTED	PAPEVANGELICAL	Q13A	Q25	Q26	Q27	Q28	Q7A	Q8A	SUCCESS
2	9	1	1	1	4	1	1	1	9	1	2	2	2	20	1	37250	13	16	15	15	13	13	2	1	5	15	16	18	33	5	14	14	0	0	3	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1
2	1	1	1	1	3	1	1	1	2	1	2	0	0	0	1	112250	30	36	32	32	16	17	4	1	3	16	20	22	52	5	11	17	0	1	3	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1
1	13	1	5	3	3	1	2	1	2	1	2	3	1	0	1	67250	nan	5	4	4	13	13	1	1	4	17	18	nan	19	5	13	14	1	3	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1
1	13	1	5	3	9	1	1	3	2	4	2	4	0	290	1	80000	0	0	0	.75	13	14	3	1	1	41	41	41	45	5	16	17	3	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	-1
1	1	1	5	3	5	1	3	1	11	1	1	4	0	270	5	67250	nan	0	0	.15000000596	12	16	3	1	1	42	42	nan	46	4	12	16	2	2	2	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	-1
1	3	1	3	1	1	1	1	1	3	1	2	3	0	0	1	80000	nan	7	7	7	12	13	4	1	2	41	41	nan	51	5	12	16	2	0	3	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	1
1	13	1	1	3	9	1	2	1	3	1	2	1	0	2570	1	92250	10	12	12	12	17	16	2	1	2	20	20	22	33	5	14	13	2	1	2	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1
4	1	1	1	1	3	1	5	3	1	1	2	1	0	240	1	67250	47	48	47	47	7.5	9	6	1	2	19	20	20	66	5	7.5	9	2	2	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	nan	1	1	1	0	1
1	3	6	5	3	7	1	5	1	13	6	2	2	1	0	1	137250	nan	0	0	.05000000075	12	9	1	1	7	20	20	nan	18	5	13	12	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	nan	1	1	1	0	-1
4	2	1	2	3	5	1	2	1	13	1	2	nan	0	0	1	37250	nan	nan	nan	nan	nan	12	4	1	1	nan	nan	nan	nan	5	12	16	1	2	3	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	nan	1	1	0	0	1
1	3	1	3	1	2	2	1	1	2	1	2	7	0	nan	1	37250	nan	23	1	2.5	12	12	3	3	2	21	43	nan	51	3	12	12	3	2	2	0	0	0	nan	nan	nan	nan	1	1	1	nan	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	nan	0	1	1	0	1
