PPGENDER	PPAGE	PPINCIMP	HOW_LONG_AGO_FIRST_ROMANTIC	SAME_SEX_COUPLE	Q23	Q19	PPEDUC	Q18A_3	MET_THROUGH_FRIENDS	MET_THROUGH_FAMILY	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_AS_COWORKERS	Q24_CHURCH	Q24_SCHOOL	Q24_COLLEGE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q31_9	Q31_OTHER_TEXT_ENTERED	SUCCESS
1	22	13	0	0	1	2	10	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
1	73	7	46	0	1	1	4	nan	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	37	15	2	1	1	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1
2	41	8	0	0	3	2	8	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
2	36	12	5	0	3	2	11	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1
1	68	10	12	1	3	1	12	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
2	53	13	10	1	1	1	12	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
2	29	11	3	0	1	2	12	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	74	12	0	0	2	2	14	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1
2	28	10	1	0	3	2	11	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1
1	33	12	7	0	3	1	9	nan	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
2	44	11	1	1	3	2	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-1
1	48	3	1	0	3	2	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1
2	54	16	20	1	1	1	13	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	31	13	6	0	1	1	11	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
1	51	8	11	0	3	2	10	1	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	-1
1	60	7	29	0	3	2	9	nan	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1
1	35	14	16	0	1	1	10	nan	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
1	73	16	26	0	3	1	13	nan	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	28	13	3	0	1	2	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
2	43	13	23	0	3	1	12	nan	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
1	76	13	35	1	2	1	12	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
1	43	14	14	0	1	1	12	nan	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	19	13	0	0	1	2	10	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	-1
1	61	16	40	0	3	1	12	nan	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	33	14	11	0	1	1	13	nan	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
2	54	18	4	0	1	2	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
1	56	6	3	1	3	2	12	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1
