PAPGLB_FRIEND	PAPRELIGION	PARTNER_RACE	PPMARIT	PPPARTYID3	PPREG9	PPRENT	Q12	Q29	Q7B	RESPONDENT_RACE	PAPGLB_STATUS	AGE_DIFFERENCE	CHILDREN_IN_HH	DISTANCEMOVED_10MI	GENDER_ATTRACTION	HHINC	HOW_LONG_AGO_FIRST_COHAB	HOW_LONG_AGO_FIRST_MET	HOW_LONG_AGO_FIRST_ROMANTIC	HOW_LONG_RELATIONSHIP	PARTNER_MOM_YRSED	PARTNER_YRSED	PPAGECAT	PPHOUSE	PPHOUSEHOLDSIZE	Q21A	Q21B	Q21C	Q9	RELATIONSHIP_QUALITY	RESPONDENT_MOM_YRSED	RESPONDENT_YRSED	ZPFORBORN_CAT	ZPNHBLACK_CAT	ZPNHWHITE_CAT	CORESIDENT	GLBSTATUS	MARRIED	MET_THROUGH_AS_COWORKERS	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_FAMILY	MET_THROUGH_FRIENDS	PPHHHEAD	PPMSACAT	PPNET	Q24_MET_ONLINE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q32_INTERNET	SAME_SEX_COUPLE	US_RAISED	ZPRURAL_CAT	PARENTAL_APPROVAL	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	EITHER_INTERNET_ADJUSTED	PAPEVANGELICAL	Q13A	Q25	Q26	Q27	Q28	Q7A	Q8A
1	13	1	5	3	2	2	4	1	13	1	2	12	0	60	2	22250	4	4	4	4	16	17	2	3	2	25	25	25	41	5	9	17	1	0	3	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0
1	13	nan	3	3	9	2	nan	nan	nan	1	1	nan	0	nan	nan	17250	nan	nan	nan	nan	nan	nan	6	3	2	nan	nan	nan	nan	nan	nan	13	3	2	0	nan	1	0	nan	nan	nan	nan	1	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
4	1	1	1	1	3	1	1	1	2	1	2	1	2	60	1	32250	8	12	9	9	12	12	2	1	4	16	19	20	27	5	13	14	0	0	3	1	0	1	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	nan	1	1	0	0
1	1	nan	3	3	4	1	nan	nan	nan	5	3	nan	0	nan	nan	22250	nan	nan	nan	nan	nan	nan	4	4	2	nan	nan	nan	nan	nan	nan	13	3	2	1	nan	1	0	nan	nan	nan	nan	0	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
3	3	nan	5	3	1	1	nan	nan	nan	1	2	nan	0	nan	nan	55000	nan	nan	nan	nan	nan	nan	3	1	1	nan	nan	nan	nan	nan	nan	16	1	0	3	nan	0	0	nan	nan	nan	nan	1	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
3	5	1	1	3	2	1	2	1	5	1	1	1	2	10	2	92250	22	29	23	23	16	17	4	1	4	20	26	27	50	4	17	16	3	2	2	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	1	1	0
4	1	2	6	3	3	1	2	4	1	2	2	0	3	10	1	80000	9	11	11	11	nan	12	4	1	4	43	43	45	54	5	12	12	2	3	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	nan	0	1	0	0	0	0	0	0	1	0	1	nan	0	1	1	0
1	1	nan	3	1	5	2	nan	nan	nan	1	3	nan	0	nan	nan	22250	nan	nan	nan	nan	nan	nan	5	1	1	nan	nan	nan	nan	nan	nan	9	1	3	0	nan	1	0	nan	nan	nan	nan	1	1	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
4	3	nan	5	3	5	1	nan	nan	nan	1	2	nan	0	nan	nan	80000	nan	nan	nan	nan	nan	nan	1	1	3	nan	nan	nan	nan	nan	nan	13	2	2	2	nan	0	0	nan	nan	nan	nan	0	1	1	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan	0	1	nan	nan	nan	nan	nan	nan	nan
4	1	1	1	3	5	1	3	4	3	1	2	1	0	600	1	45000	52	57	54	54	13	12	6	1	2	16	19	21	72	5	12	12	1	2	2	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	nan	0	0	0	0	0	1	0	0	1	0	0	nan	1	1	0	0
