Q9	PPAGE	PPGENDER	pp4_ppwork	PP2_RESPONDENT_YRSED	PARTNER_YRSED	PARENTAL_APPROVAL	PPINCIMP	Q7B	PAPRELIGION	success
42	41	2	1	16	17	1	11	2	13	-1
31	42	2	1	12	13	1	12	1	2	-1
49	55	1	1	17	16	1	12	5	13	1
49	48	2	4	10	13	1	2	13	1	-1
56	53	2	2	12	17	1	11	1	11	1
25	28	1	1	16	20	1	19	5	5	1
44	33	2	6	13	10	1	7	13	1	1
23	28	1	1	12	12	0	13	12	12	-1
29	25	2	1	14	14	1	15	13	11	-1
22	19	2	2	13	13	1	8	13	12	1
51	42	2	1	13	12	1	11	13	3	-1
48	46	2	2	20	13	1	16	1	12	1
35	27	2	1	16	13	1	12	2	2	-1
43	37	2	1	14	14	0	6	3	12	-1
42	42	1	1	16	13	1	15	3	9	1
45	48	2	1	12	12	1	12	3	3	1
36	34	1	1	14	13	1	13	11	11	1
59	55	2	2	12	13	1	13	2	2	1
46	49	1	2	13	16	1	18	2	2	1
20	20	2	1	13	13	1	18	2	5	-1
60	54	2	1	13	12	1	13	13	13	1
39	39	2	3	13	16	1	16	13	11	-1
51	59	2	5	20	16	1	19	13	13	1
41	42	1	1	20	17	1	14	3	5	1
41	39	2	1	17	17	1	15	2	2	1
53	49	2	1	17	7.5	0	15	13	2	-1
57	40	1	4	16	13	0	7	12	2	-1
34	33	2	2	16	13	0	16	11	2	1
28	28	1	1	14	13	1	18	1	11	1
51	32	2	1	12	13	1	6	11	11	1
59	51	2	6	12	9	0	8	1	1	1
78	59	1	5	16	17	1	1	2	2	1
50	49	1	2	12	12	1	15	13	13	1
35	39	1	1	20	20	1	16	11	3	1
58	48	2	1	14	16	0	12	12	3	1
23	22	2	1	13	14	1	11	11	3	1
41	29	2	1	17	17	1	7	13	13	-1
27	28	1	1	16	12	1	9	2	1	1
50	49	1	1	16	17	1	15	5	5	1
25	31	2	3	13	5.5	0	6	11	3	-1
39	34	2	1	16	16	1	16	2	2	1
61	59	1	5	12	12	1	13	13	13	1
30	29	1	1	17	16	1	7	1	1	1
33	36	1	2	12	12	1	10	9	2	1
38	28	2	1	13	16	0	10	11	1	-1
59	60	2	2	16	17	1	19	5	5	1
38	28	1	2	17	20	0	12	3	13	1
30	48	1	6	12	11	1	4	1	13	1
39	38	2	1	16	14	1	12	4	4	1
36	30	2	7	17	12	1	15	1	9	1
42	41	1	1	16	17	1	15	3	13	1
26	27	2	1	16	16	1	12	3	3	1
34	34	1	1	14	16	1	13	11	11	1
28	30	1	1	16	16	1	12	13	13	1
30	32	2	1	13	13	1	12	2	2	-1
28	29	2	1	13	12	1	12	3	3	1
45	44	1	1	16	14	0	17	13	10	1
28	45	1	1	16	16	1	13	2	2	-1
30	38	1	2	17	16	0	13	13	13	-1
35	22	2	1	13	12	0	13	1	1	-1
36	39	1	1	13	14	1	16	13	13	-1
26	26	2	1	16	17	1	11	13	11	1
46	42	2	2	12	12	1	3	13	1	1
30	43	1	1	16	16	1	16	9	11	-1
31	29	2	7	17	14	1	9	13	12	1
