w234_combo_breakup	CASEID_NEW	PPGENDER	PPAGE	PPINCIMP	HOW_LONG_AGO_FIRST_ROMANTIC	SAME_SEX_COUPLE	Q23	Q19	PPEDUC	Q18A_1	Q18A_2	PPINCIMP	MET_THROUGH_FRIENDS	MET_THROUGH_FAMILY	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_AS_COWORKERS	Q24_CHURCH	Q24_SCHOOL	Q24_COLLEGE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q31_9	Q31_OTHER_TEXT_ENTERED
0	55686	1	68	10	12	1	3	1	12	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
0	56536	2	53	13	10	1	1	1	12	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	58295	2	29	11	3	0	1	2	12	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	60743	1	74	12	0	0	2	2	14	0	0	12	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
1	62283	2	28	10	1	0	3	2	11	0	0	10	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	64331	1	33	12	7	0	3	1	9	 	 	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	65446	2	44	11	1	1	3	2	10	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	66484	1	48	3	1	0	3	2	10	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	68546	2	54	16	20	1	1	1	13	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0	69311	1	31	13	6	0	1	1	11	 	 	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
1	72515	1	51	8	11	0	3	2	10	0	0	8	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0
1	73603	1	60	7	29	0	3	2	9	 	 	7	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	75621	1	62	13	29	0	1	1	5	 	 	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	77256	2	25	14	5	0	2	1	12	 	 	14	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	78351	1	35	14	16	0	1	1	10	 	 	14	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0	79731	1	73	16	26	0	3	1	13	 	 	16	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	80656	1	65	12	30	1	2	1	12	0	0	12	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	81286	1	28	13	3	0	1	2	12	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	82431	2	43	5	26	0	1	1	6	 	 	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	83431	2	43	13	23	0	3	1	12	 	 	13	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0	85281	2	28	16	10	0	3	1	12	 	 	16	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	86591	2	59	6	19	0	1	1	10	 	 	6	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0	89766	1	76	13	35	1	2	1	12	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	94431	1	43	14	14	0	1	1	12	 	 	14	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	95431	1	43	13	25	0	1	1	9	 	 	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	97195	1	19	13	0	0	1	2	10	0	0	13	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
0	99611	1	61	16	40	0	3	1	12	 	 	16	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0	100331	1	33	14	11	0	1	1	13	 	 	14	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	103545	2	54	18	4	0	1	2	12	0	0	18	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	104565	1	56	6	3	1	3	2	12	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	106296	2	29	10	9	0	2	2	12	0	0	10	 	 	 	 	 	 	 	0	0	0	0	0	0	0	0	1	0
0	108501	1	50	14	27	0	1	1	14	 	 	14	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	110316	1	31	13	4	1	1	1	13	0	0	13	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0
0	112646	1	64	16	30	1	3	1	10	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	113235	2	23	16	5	0	3	1	10	0	0	16	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
